Composition,Uses
Erythromycin (500mg),Treatment of Bacterial infections
Salbutamol (2mg/5ml),Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
Ticagrelor (90mg), Prevention of heart attack and stroke
Vitamin D3 (600000IU),Treatment of Vitamin D deficiencyTreatment of Osteoporosis
Alfuzosin (10mg),Treatment of Benign prostatic hyperplasia
Azithromycin (200mg/5ml),Treatment of Bacterial infections
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Fexofenadine (30mg/5ml),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (5mg/5ml),Treatment of Dry cough
Azithromycin (500mg),Treatment of Bacterial infections
Pheniramine (22.75mg),Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
Vitamin A (25000IU),Treatment of Vitamin A deficiency
Lidocaine (1.5% w/w) + Nifedipine (0.3% w/w),Treatment of Anal fissure
Amoxycillin  (400mg/5ml) +  Clavulanic Acid (57mg/5ml),Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
Amoxycillin (500mg),Treatment of Bacterial infections
Azithromycin (1000mg) + Ornidazole (750mg) + Fluconazole (150mg),Treatment of Syndromic treatment of vaginal discharge
Ambroxol (15mg/5ml) + Levosalbutamol (0.5mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Salbutamol (100mcg),Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
Cyproheptadine (2mg/5ml) + Tricholine Citrate (275mg/5ml) + Sorbitol (2gm/5ml), Appetite stimulant
Acebrophylline (100mg),Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
Azithromycin (200mg/5ml),Treatment of Bacterial infections
Adapalene (0.1% w/w), Acne
Amitriptyline (10mg),Treatment of Depression Neuropathic painTreatment of Migraine
Ambroxol (30mg/5ml),Treatment of Respiratory tract disorders associated with viscid mucus
Acebrophylline (100mg) + Acetylcysteine (600mg),Treatment of Chronic obstructive pulmonary disease (COPD)
Ambroxol (7.5mg/ml) + Levosalbutamol (0.25mg/ml) + Guaifenesin (12.5mg/ml),Acute Sore throatTreatment of Cough with mucus
Dextromethorphan Hydrobromide (5mg), Dry cough
Atorvastatin (40mg), High cholesterolPrevention of Heart attack
Azelaic Acid (20% w/w),Treatment of Acne
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Acotiamide (100mg),Treatment of Functional dyspepsia
Amoxycillin  (875mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Lidocaine (4% w/w) + Metronidazole (1% w/w) + Sucralfate (7% w/w),Treatment of Anal fissure
Nitroglycerin (2.5mg),Treatment of Angina (heart-related chest pain)
Moxifloxacin (0.5% w/v),Treatment of Bacterial eye infections
Acyclovir (400mg), Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection
Acyclovir (5% w/w), Herpes labialis
Pheniramine (22.75mg),Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
Azithromycin (250mg),Treatment of Bacterial infections
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Acenocoumarol (2mg),Treatment and prevention of Blood clots
Cetirizine (5mg/5ml),Treatment of Allergic conditions
Atorvastatin (10mg), High cholesterolPrevention of Heart attack
Azithromycin (500mg),Treatment of Bacterial infections
Atorvastatin (10mg), High cholesterolPrevention of Heart attack
Ciprofloxacin (0.3% w/v) + Dexamethasone (0.1% w/v),Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation
Furosemide (40mg) + Amiloride (5mg),Treatment of Edema
Ranitidine (300mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Amoxycillin  (1000mg) +  Clavulanic Acid (200mg),Treatment of Bacterial infections
Guaifenesin (50mg) + Terbutaline (1.25mg) + Bromhexine (2mg),Treatment of Cough with mucus
Atorvastatin (20mg), High cholesterolPrevention of Heart attack
Acebrophylline (200mg),Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
Donepezil (5mg) + Memantine (10mg), Alzheimer's disease
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Carboxymethylcellulose (0.5% w/v),Treatment of Dry eyes
Aceclofenac (100mg) + Paracetamol (325mg) + Chlorzoxazone (500mg),Treatment of Muscular pain
Hydroxyzine (6mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Ambroxol (30mg/5ml) + Levosalbutamol (1mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Ambroxol (30mg/5ml) + Levosalbutamol (1mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Paracetamol (300mg) + Paracetamol (700mg), Pain relief Fever
Fluticasone Furoate (0.05% w/w),Treatment of Sneezing and runny nose due to allergies
Acebrophylline (100mg) + Acetylcysteine (600mg),Treatment of Chronic obstructive pulmonary disease (COPD)
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Spironolactone (50mg), Hypertension (high blood pressure) Edema Low potassium Heart failure
Cetirizine (10mg),Treatment of Allergic conditions
Levosalbutamol (50mcg) + Beclometasone (50mcg), Asthma
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg), Pain relief
Salbutamol (2.5mg),Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
Fluticasone Propionate (50mcg) + Azelastine (140mcg),Treatment of Sneezing and runny nose due to allergies
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Oseltamivir Phosphate (75mg),Treatment of Influenza (flu)
Amoxycillin  (250mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Memantine (5mg), Alzheimer's disease
Sacubitril (24mg) + Valsartan (26mg),Treatment of Heart failure
Cetirizine (5mg) + Phenylephrine (10mg),Treatment of Sneezing and runny nose due to allergies
Diosmin (450mg) + Hesperidin (50mg), Varicose veins
Cetirizine (10mg) + Phenylephrine (10mg),Treatment of Sneezing and runny nose due to allergies
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Acenocoumarol (1mg),Treatment and prevention of Blood clots
Fluconazole (400mg),Treatment of Fungal infections
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Atorvastatin (10mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Azithromycin (500mg),Treatment of Bacterial infections
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Thiocolchicoside (4mg) + Aceclofenac (100mg) + Paracetamol (325mg),Treatment of Muscular pain
Fluconazole (150mg),Treatment of Fungal infections
Atorvastatin (10mg) + Fenofibrate (145mg),Treatment of High cholesterolPrevention of Heart attack
Tretinoin (0.1% w/w),Treatment of Acne Acute promyelocytic leukaemia
Moxifloxacin (0.5% w/v) + Prednisolone (1% w/v),Treatment of Bacterial infections
Acebrophylline (100mg),Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
Amantadine (100mg),Treatment of Parkinson's disease
Azithromycin (200mg/5ml),Treatment of Bacterial infections
Hydrochlorothiazide (12.5mg),Treatment of Hypertension (high blood pressure)Treatment of Edema
Tretinoin (0.05% w/w),Treatment of Acne Acute promyelocytic leukaemia
Erythromycin (250mg),Treatment of Bacterial infections
Disodium Hydrogen Citrate (1.4gm/5ml),Treatment of GoutTreatment of Kidney stone
Empagliflozin (25mg) + Linagliptin (5mg),Treatment of Type 2 diabetes mellitus
Diosmin (900mg) + Hesperidin (100mg), Varicose veins
Fluticasone Furoate (27.5mcg),Treatment of Sneezing and runny nose due to allergies
Amoxycillin  (400mg/5ml) +  Clavulanic Acid (57mg/5ml),Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
Loperamide (2mg), Diarrhea
Chlorpheniramine Maleate (4mg) + Dextromethorphan Hydrobromide (10mg),Treatment of Dry cough
Camylofin (12.5mg/5ml) + Paracetamol (125mg/5ml),Treatment of Abdominal pain
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Acyclovir (800mg), Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Ambroxol (60mg) + Loratadine (5mg), Cough
Choline Salicylate (8.7% w/w) + Lidocaine (2% w/w),Treatment of Mouth ulcers
Montelukast (10mg) + Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergies
Azelaic Acid (10% w/w),Treatment of Acne
Aceclofenac (200mg) + Rabeprazole (20mg), Pain relief
Atenolol (50mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
Salbutamol (4mg),Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
Azithromycin (1% w/w),Treatment of Bacterial eye infections
Azithromycin (500mg),Treatment of Bacterial infections
Ambroxol (30mg) + Guaifenesin (50mg) + Menthol (0.5mg) + Terbutaline (1.25mg), Cough
Acebrophylline (200mg),Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
Ambroxol (15mg/5ml) + Pseudoephedrine (30mg/5ml) + Chlorpheniramine Maleate (2mg/5ml), Common cold
S-Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
Telmisartan (40mg) + Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Guaifenesin (50mg) + Terbutaline (1.25mg) + Bromhexine (2mg),Treatment of Cough with mucus
Nitroglycerin (2.5mg),Treatment of Angina (heart-related chest pain)
Atenolol (25mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack
Memantine (10mg), Alzheimer's disease
Atorvastatin (40mg), High cholesterolPrevention of Heart attack
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Azithromycin (20mg/ml),Treatment of Bacterial infections
Azithromycin (500mg),Treatment of Bacterial infections
Ambroxol (30mg) + Levosalbutamol (1mg) + Guaifenesin (50mg),Treatment of Cough with mucus
Clotrimazole (1% w/w),Treatment of Fungal skin infections
Aripiprazole (5mg), Schizophrenia Mania
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Alfuzosin (10mg),Treatment of Benign prostatic hyperplasia
Azithromycin (500mg),Treatment of Bacterial infections
Ambroxol (75mg) + Levocetirizine (5mg) + Montelukast (10mg),Treatment of Respiratory tract disorders associated with viscid mucus
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Azelaic Acid (10% w/w),Treatment of Acne
Pheniramine (50mg),Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease
Sildenafil (25mg),Treatment of Erectile dysfunction
Camylofin (25mg), Abdominal cramp
Apremilast (30mg), Plaque psoriasis
Clindamycin (1% w/w),Treatment of Bacterial infections
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Tretinoin (0.025% w/w),Treatment of Acne Acute promyelocytic leukaemia
Ursodeoxycholic Acid (300mg),Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Azithromycin (100mg/5ml),Treatment of Bacterial infections
Levocloperastine (20mg/5ml),Treatment of Dry cough
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Amoxycillin  (250mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Cilnidipine (10mg) + Metoprolol Succinate (50mg) + Telmisartan (40mg), Hypertension (high blood pressure)
Amoxycillin (250mg),Treatment of Bacterial infections
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Ambroxol (7.5mg) + Guaifenesin (12.5mg) + Terbutaline (0.25mg),Treatment of Cough with mucus
Atorvastatin (20mg), High cholesterolPrevention of Heart attack
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Carboxymethylcellulose (0.5% w/v),Treatment of Dry eyes
Ambroxol (30mg/5ml),Treatment of Respiratory tract disorders associated with viscid mucus
Atorvastatin (10mg) + Aspirin (75mg),Treatment of Prevention of heart attack and stroke
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Guaifenesin (50mg) + Terbutaline (1.25mg) + Bromhexine (2mg),Treatment of Cough with mucus
Isotretinoin (20mg),Treatment of Acne
Adapalene (0.1% w/w) + Clindamycin (1% w/w),Treatment of Acne
Lidocaine (1.5% w/w) + Nifedipine (0.3% w/w),Treatment of Anal fissure
Atorvastatin (10mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Levocetirizine (5mg) + Phenylephrine (10mg) + Paracetamol (500mg),Treatment of Common cold
Racecadotril (100mg),Treatment of Diarrhea
Human insulin (100IU), Diabetes
Aripiprazole (5mg), Schizophrenia Mania
Disodium Hydrogen Citrate (1.53gm/5ml),Treatment of GoutTreatment of Kidney stone
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Azithromycin (500mg),Treatment of Bacterial infections
Atorvastatin (10mg), High cholesterolPrevention of Heart attack
Amoxycillin (500mg) + Clavulanic Acid (125mg) + Lactobacillus (60Million spores), Bacterial infections
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg), Pain relief
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Acyclovir (200mg), Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Ticagrelor (90mg), Prevention of heart attack and stroke
Acenocoumarol (3mg),Treatment and prevention of Blood clots
Atorvastatin (10mg), High cholesterolPrevention of Heart attack
Fexofenadine (180mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Sulbutiamine (200mg), Fatigue Alzheimer's disease
Apixaban (2.5mg),Treatment and prevention of Blood clots
Carboxymethylcellulose (0.5% w/v),Treatment of Dry eyes
Drotaverine (80mg) + Aceclofenac (100mg),Treatment of Abdominal pain
Ketorolac (0.4% w/v) + Moxifloxacin (0.5% w/v),Treatment of Bacterial eye infections
Ranitidine (25mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Ketoconazole (2% w/v), Fungal skin infections
Amitriptyline (10mg) + Methylcobalamin (1500mcg), Neuropathic pain
Amoxycillin  (400mg/5ml) +  Clavulanic Acid (57mg/5ml),Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections
Salbutamol (5mg),Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma
Atorvastatin (10mg) + Fenofibrate (160mg),Treatment of High cholesterolPrevention of Heart attack
Ambroxol (30mg/5ml) + Levosalbutamol (1mg/5ml) + Guaifenesin (50mg/5ml),Treatment of Cough with mucus
Alendronic Acid (70mg) + Vitamin D3 (5600IU), Osteoporosis
Atorvastatin (80mg), High cholesterolPrevention of Heart attack
Hydroxypropylmethylcellulose (0.3% w/v), Dry eyes
Ciprofloxacin (500mg),Treatment of Bacterial infections
Amitriptyline (10mg),Treatment of Depression Neuropathic painTreatment of Migraine
Desonide (0.05% w/w), Skin conditions with inflammation & itching
Chlorpheniramine Maleate (2mg) + Dextromethorphan Hydrobromide (10mg),Treatment of Dry cough
Cetirizine (10mg),Treatment of Allergic conditions
Insulin Glulisine (100IU), Diabetes
Sodium Hyaluronate (0.18% w/v),Treatment of Dry eyes
Naphazoline (0.056% w/v) + Chlorpheniramine Maleate (0.01% w/v) + Hydroxypropylmethylcellulose (0.2% w/v) + Zinc (0.12% w/v),Treatment of Allergic eye disease
Acamprosate (333mg), Alcohol addiction
Amitriptyline (10mg),Treatment of Depression Neuropathic painTreatment of Migraine
Adapalene (0.1% w/w) + Clindamycin (1% w/w),Treatment of Acne
Ketorolac (0.4% w/v), Post-operative eye pain and inflammation
Ketorolac (0.4% w/v) + Olopatadine (0.1% w/v),Treatment of Allergic conjunctivitis
Choline fenofibrate (135mg), High cholesterol
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Levocetirizine (5mg) + Montelukast (10mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions
Aripiprazole (2mg), Schizophrenia Mania
Atorvastatin (20mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Bromhexine (2mg/5ml) + Guaifenesin (50mg/5ml) + Menthol (0.5mg/5ml) + Terbutaline (1.25mg/5ml),Treatment of Cough
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Alfuzosin (10mg) + Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Anastrozole (1mg), Breast cancer
Acyclovir (5% w/w), Herpes labialis
Atropine (1% w/v),Treatment of MyopiaTreatment of Uveitis
Testosterone (25mg),Treatment of Male hypogonadism
Domperidone (30mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Atorvastatin (10mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Alfacalcidol (0.25mcg),Treatment of Vitamin D deficiency
Empagliflozin (10mg) + Linagliptin (5mg),Treatment of Type 2 diabetes mellitus
Moxifloxacin (0.5% w/v) + Dexamethasone (0.1% w/v),Treatment of Bacterial eye infections
Cilnidipine (10mg) + Metoprolol Succinate (25mg) + Telmisartan (40mg), Hypertension (high blood pressure)
Ornidazole (250mg) + Diloxanide (375mg), Diarrhea Dysentery
Losartan (50mg) + Amlodipine (5mg), Hypertension (high blood pressure)
Amorolfine (5% w/v), Fungal nail infections
Amitriptyline (5mg) + Methylcobalamin (1500mcg), Neuropathic pain
Prochlorperazine (5mg),Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety
Ambroxol (7.5mg),Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus
Sacubitril (49mg) + Valsartan (51mg),Treatment of Heart failure
Donepezil (5mg) + Memantine (5mg), Alzheimer's disease
Amitriptyline (10mg),Treatment of Depression Neuropathic painTreatment of Migraine
S-Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke
Erythromycin (125mg/5ml),Treatment of PertussisTreatment of DiphtheriaTreatment of Bacterial infections
Albumin (20%), Short term fluid replacement after trauma
Apixaban (5mg),Treatment and prevention of Blood clots
Amlodipine (2.5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Flupenthixol (0.5mg), Schizophrenia Depression Bipolar disorder
Doxylamine (20mg) + Vitamin B6 (Pyridoxine) (10mg) + L-Methyl Folate Calcium (1mg) + Methylcobalamin (1500mcg), Nausea and vomiting in pregnancy
Nitroglycerin (2.6mg),Treatment of Angina (heart-related chest pain)
Dicyclomine (10mg) + Mefenamic Acid (250mg),Treatment of Menstrual painTreatment of Abdominal cramp
Azithromycin (250mg),Treatment of Bacterial infections
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Aceclofenac (100mg), Pain relief
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg), Pain relief
Acenocoumarol (4mg),Treatment and prevention of Blood clots
Aprepitant (125mg) + Aprepitant (80mg), Nausea and vomiting due to chemotherapy
Minoxidil (5% w/v),Treatment of Hair loss
Adapalene (0.1% w/w) + Clindamycin (1% w/w),Treatment of Acne
Aceclofenac (100mg) + Paracetamol (500mg), Pain relief
Brinzolamide (1% w/v), Glaucoma Ocular hypertension
Amorolfine (0.25% w/w), Fungal nail infections
Lidocaine (4% w/w) + Metronidazole (1% w/w) + Sucralfate (7% w/w),Treatment of Anal fissure
Fluconazole (200mg),Treatment of Fungal infections
Amlodipine (10mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Azithromycin (200mg/5ml),Treatment of Bacterial infections
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Aripiprazole (10mg), Schizophrenia Mania
Azithromycin (100mg/5ml),Treatment of Bacterial infections
Diloxanide (500mg), Worm infections Intestinal amoebiasis
Aripiprazole (2mg), Schizophrenia Mania
Isotretinoin (10mg),Treatment of Acne
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Ampicillin (500mg) + Dicloxacillin (500mg),Treatment of Bacterial infections
Donepezil (5mg), Alzheimer's disease
Azathioprine (25mg), Prevention of organ rejection in transplant patientsTreatment of Rheumatoid arthritis
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Melatonin (5mg),Treatment of InsomniaTreatment of Jet lag
Albendazole (400mg),Treatment of Parasitic infections
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Amitriptyline (10mg) + Pantoprazole (40mg), Acidity Heartburn Anxiety
Amlodipine (5mg) + Atenolol (50mg),Treatment of Hypertension (high blood pressure)
Azithromycin (500mg),Treatment of Bacterial infections
Aspirin (75mg) + Atorvastatin (20mg) + Clopidogrel (75mg),Prevention of Heart attack
Spironolactone (100mg), Hypertension (high blood pressure) Edema Low potassium Heart failure
Amitriptyline (25mg),Treatment of Depression Neuropathic painTreatment of Migraine
Aceclofenac (100mg) + Serratiopeptidase (15mg), Pain relief
Alfuzosin (10mg) + Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Aceclofenac (200mg), Pain relief
Acitretin (25mg), Psoriasis
Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Adapalene (0.1% w/w) + Clindamycin (1% w/w),Treatment of Acne
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (15mg/5ml),Treatment of Dry cough
Atorvastatin (10mg) + Clopidogrel (75mg), Heart attack prevention and high cholesterol
Acebrophylline (10mg/ml),Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD)
Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Benzoyl Peroxide (2.5% w/w) + Clindamycin (1% w/w), Acne
Apremilast (10mg), Plaque psoriasis
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Choline Salicylate (8.7% w/w) + Lidocaine (2% w/w),Treatment of Mouth ulcers
Camylofin (50mg) + Mefenamic Acid (250mg), Abdominal cramp
Dapsone (5% w/w), Acne
Azelaic Acid (20% w/w),Treatment of Acne
Ambroxol (15mg) + Levosalbutamol (0.5mg) + Guaifenesin (50mg),Treatment of Cough with mucus
Desonide (0.05% w/w), Skin conditions with inflammation & itching
Ampicillin (125mg) + Cloxacillin (125mg),Treatment of Bacterial infections
Chlorpheniramine Maleate (1mg/ml) + Phenylephrine (2.5mg/ml),Treatment of Common cold
Ambroxol (15mg/5ml) + Guaifenesin (50mg/5ml) + Terbutaline (1.25mg/5ml),Treatment of Cough with mucus
Levofloxacin (500mg),Treatment of Bacterial infections
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Aceclofenac (100mg) + Paracetamol (325mg) + Chlorzoxazone (250mg),Treatment of Muscular pain
Recombinant Human Erythropoietin Alfa (10000IU),Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy
Adapalene (0.1% w/w) + Clindamycin (1% w/w),Treatment of Acne
Alcaftadine (0.25% w/v), Allergic eye disease
Levocloperastine (20mg/5ml),Treatment of Dry cough
Azithromycin (500mg),Treatment of Bacterial infections
Azithromycin (500mg),Treatment of Bacterial infections
Amlodipine (5mg) + Hydrochlorothiazide (12.5mg), Hypertension (high blood pressure)
